ID,线路,站点,餐饮服务,购物服务,生活服务,体育休闲服务,医疗保健服务,住宿服务,风景名胜,政府机构及社会团体,科教文化服务,交通枢纽,金融保险服务,公司企业,公共设施,生活类,公司,产业园区,楼宇相关,住宅区
69,4,中医药大学站,2,9,8,9,2,0,0,5,6,11,3,2,1,20,10,0,0,7
50,2,中河北路站,870,881,883,154,166,232,30,394,405,598,196,873,74,2708,1463,6,63,648
42,2,振宁路站,178,223,246,12,27,27,2,26,53,89,28,255,7,654,309,4,11,16
14,1,闸弄口站,470,834,619,59,106,76,13,136,129,226,39,574,34,1957,749,6,11,63
26,1,云水站,533,427,308,42,42,43,2,28,145,117,12,100,5,1273,140,1,5,131
31,1,余杭高铁站,3,16,20,1,1,0,3,6,10,13,2,93,4,43,101,4,0,0
74,4,甬江路站,152,196,300,39,30,6,0,32,74,146,39,179,12,660,250,2,4,20
44,2,盈丰路站,128,102,151,23,11,27,1,23,40,52,19,455,1,382,497,2,20,8
68,4,杨家墩站,489,483,265,33,35,25,0,10,42,80,18,40,9,1246,68,0,1,17
55,2,学院路站,855,868,887,113,63,109,7,243,446,507,266,886,19,2629,1395,14,79,269
79,4,新塘站,634,876,884,128,146,173,14,365,428,505,199,851,59,2453,1415,1,78,390
80,4,新风站,634,876,884,128,146,173,14,365,428,505,199,851,59,2453,1415,1,78,390
0,1,湘湖站,10,44,27,3,5,2,3,6,6,21,4,10,1,82,20,1,1,10
21,1,下沙西站,65,188,64,5,5,23,3,7,9,35,3,128,5,322,138,1,5,9
27,1,下沙江滨站,136,155,179,18,34,18,0,12,38,59,0,42,6,476,54,1,13,45
54,2,下宁桥站,543,655,554,68,65,50,10,185,521,313,67,885,22,1774,1137,4,29,380
60,2,虾龙圩站,724,869,511,45,57,67,2,49,114,244,49,844,11,2115,942,6,23,19
2,1,西兴站,226,231,183,19,12,25,1,10,34,87,13,583,2,642,606,13,11,13
12,1,西湖文化广场站,472,885,891,147,67,92,17,182,302,391,107,882,78,2326,1171,3,35,56
6,1,婺江路站,311,883,391,36,47,38,2,83,80,140,37,301,15,1600,421,2,9,36
52,2,武林门站,866,874,877,180,88,173,23,207,391,516,181,866,109,2726,1254,2,76,188
11,1,武林广场站,866,874,877,180,88,173,23,207,391,516,181,866,109,2726,1254,2,76,188
30,1,翁梅站,76,222,115,7,11,4,0,4,15,23,0,98,1,414,102,2,0,7
24,1,文泽路站,731,802,373,38,14,21,4,13,204,92,15,174,23,1929,202,4,3,26
58,2,文新站,634,876,884,128,146,173,14,365,428,505,199,851,59,2453,1415,1,78,390
25,1,文海南路站,391,109,142,27,7,2,6,9,133,73,7,72,9,651,88,7,2,22
71,4,水澄桥站,75,337,128,10,17,11,7,34,26,70,30,117,11,551,181,5,3,18
76,4,市民中心站,391,889,475,56,28,26,10,97,73,193,142,677,65,1820,916,0,40,34
53,2,沈塘桥站,548,886,890,115,184,95,10,312,448,456,167,877,46,2370,1356,7,46,610
61,2,三墩站,364,888,534,28,90,21,3,59,103,172,42,122,15,1801,223,0,8,38
59,2,三坝站,539,826,513,59,73,81,1,24,269,222,59,779,12,1890,862,4,15,14
37,2,人民路站,501,881,808,82,152,55,14,216,201,227,69,237,76,2266,522,0,26,40
39,2,人民广场站,502,874,867,72,64,30,5,101,230,304,98,467,38,2281,666,2,20,41
48,2,庆菱路站,514,885,853,95,180,46,14,261,220,313,85,667,22,2274,1013,9,30,872
47,2,庆春广场站,864,866,884,125,105,69,5,214,272,438,146,891,75,2689,1251,0,41,420
29,1,乔司站,33,110,63,7,2,0,0,3,0,10,1,70,0,206,74,0,1,3
28,1,乔司南站,155,757,126,14,10,5,1,13,7,28,1,243,1,1039,257,1,1,6
45,2,钱江世纪城站,24,26,34,5,4,13,1,7,12,31,4,61,1,85,72,1,13,4
46,2,钱江路站,662,861,815,103,241,56,4,142,327,382,110,857,39,2377,1109,5,33,500
46,4,钱江路站,662,861,815,103,241,56,4,142,327,382,110,857,39,2377,1109,5,33,500
17,1,七堡站,35,50,51,6,8,0,0,14,17,24,2,19,0,136,35,0,0,8
67,4,浦沿站,383,277,255,39,28,35,0,11,77,128,14,233,9,924,258,5,8,17
16,1,彭埠站,175,203,234,28,33,48,4,34,48,46,15,78,8,620,127,1,8,15
36,2,潘水站,4,18,8,1,1,1,1,8,1,16,0,30,4,34,38,0,0,4
32,1,南苑站,634,876,884,128,146,173,14,365,428,505,199,851,59,2453,1415,1,78,390
73,4,南星桥站,243,354,419,53,39,45,13,84,102,160,40,418,33,1049,542,13,12,40
9,1,龙翔桥站,880,852,893,190,172,288,85,274,249,542,154,793,259,2884,1221,3,49,159
33,1,临平站,83,94,115,19,18,3,2,12,21,44,4,44,2,294,60,0,2,11
66,2,良渚站,284,884,364,32,44,31,2,44,68,41,24,137,9,1541,205,0,2,11
70,4,联庄站,397,381,396,36,47,40,2,24,128,136,25,241,2,1176,290,15,6,35
20,1,客运中心站,175,339,279,32,38,22,3,26,31,85,17,98,17,810,141,0,5,28
18,1,九和路站,749,849,891,129,74,62,10,183,262,409,97,766,62,2551,1046,4,19,323
19,1,九堡站,566,752,403,26,29,53,2,55,45,130,42,470,17,1738,567,9,10,17
78,4,景芳站,797,872,891,126,81,71,11,210,279,416,101,839,65,2625,1150,4,22,567
5,4,近江站,446,661,667,82,76,21,6,129,197,272,76,365,53,1827,570,2,12,38
22,1,金沙湖站,885,888,895,136,83,129,1,37,205,199,63,396,44,2712,496,4,13,28
63,2,金家渡站,533,724,376,51,28,22,6,10,72,133,13,280,20,1653,303,4,4,18
4,1,江陵路站,541,493,597,47,44,38,4,86,134,207,68,679,18,1649,833,4,35,8
77,4,江锦路站,402,862,507,57,33,35,5,91,85,203,125,589,57,1828,805,3,33,21
40,2,建设一路站,208,885,207,16,25,17,3,24,11,99,36,325,7,1307,385,1,1,10
41,2,建设三路站,388,333,323,37,24,37,1,25,34,165,51,498,6,1050,574,8,18,8
49,2,建国北路站,786,886,888,116,250,95,16,182,236,476,166,849,42,2602,1197,5,35,780
15,4,火车东站,233,188,234,28,25,112,2,25,29,197,17,102,31,686,144,1,13,11
38,2,杭发厂站,370,890,504,79,29,33,3,78,80,206,115,451,53,1817,644,3,25,25
56,2,古翠路站,820,865,847,127,229,67,5,150,315,408,113,864,45,2577,1127,5,37,421
23,1,高沙路站,881,857,889,136,76,289,1,27,194,209,43,373,43,2670,443,4,15,25
72,4,复兴路站,302,456,458,42,37,42,7,84,106,193,56,451,21,1237,591,7,12,27
10,1,凤起路站,883,870,893,209,182,322,68,392,362,658,203,882,141,2787,1477,3,66,360
51,2,凤起路站,883,870,893,209,182,322,68,392,362,658,203,882,141,2787,1477,3,66,360
57,2,丰潭路站,846,889,894,133,122,74,3,28,286,201,67,552,49,2678,647,1,17,27
43,2,飞虹路站,82,112,115,17,8,20,1,25,28,48,9,172,1,310,206,4,8,12
62,2,墩祥街站,340,878,630,45,121,17,2,27,216,224,32,109,7,1855,168,0,2,43
65,2,杜甫村站,71,187,114,22,15,1,0,3,17,22,5,24,15,387,32,0,1,12
8,1,定安路站,887,886,891,133,178,434,115,312,327,506,136,761,164,2828,1209,3,33,177
13,1,打铁关站,409,734,884,94,115,87,5,164,251,396,89,877,53,2080,1130,2,27,63
7,1,城站,603,876,707,48,118,209,18,164,150,318,102,856,32,2218,1122,0,30,145
75,4,城星路站,307,663,520,44,44,29,9,108,112,263,179,809,21,1511,1096,0,34,121
34,2,朝阳站,24,58,40,3,2,2,1,19,13,34,0,73,6,128,92,3,0,6
35,2,曹家桥站,75,127,122,10,11,6,1,32,39,52,4,35,11,335,71,0,1,11
1,1,滨康路站,97,325,184,12,29,30,4,52,42,68,12,128,8,614,192,1,2,44
3,1,滨和路站,619,485,533,39,89,22,1,36,169,115,24,94,1,1638,154,1,2,18
64,2,白洋站,52,130,54,6,12,5,1,5,25,33,11,33,7,243,49,1,3,7
