日期,最高气温℃,最低气温℃,天气,风向,风力
2019/1/1,6,1,小雨,北风,微风
2019/1/2,5,3,小雨,西北风,微风
2019/1/3,9,4,小雨,北风,微风
2019/1/4,8,5,中雨,北风,微风
2019/1/5,6,3,中雨,北风,微风
2019/1/6,7,4,小雨,东风,微风
2019/1/7,8,5,小雨,北风,微风
2019/1/8,6,4,阴,东北风,微风
2019/1/9,6,6,小雨,北风,微风
2019/1/10,8,6,小雨,北风,微风
2019/1/11,8,5,中雨,西北风,微风
2019/1/12,8,2,阴,北风,微风
2019/1/13,8,2,晴,北风,微风
2019/1/14,8,4,小雨,东风,微风
2019/1/15,7,4,小雨,北风,北风3-4级
2019/1/16,7,1,多云,北风,微风
2019/1/17,7,0,晴,北风,微风
2019/1/18,11,2,晴,北风,微风
2019/1/19,8,5,阴,北风,微风
2019/1/20,9,2,多云,北风,微风
2019/1/21,7,0,多云,北风,微风
2019/1/22,11,1,晴,北风,微风
2019/1/23,12,1,晴,北风,微风
2019/1/24,11,1,晴,北风,微风
2019/1/25,9,2,多云,北风,微风
2019/1/26,6,0,多云,北风,微风
2019/1/27,11,2,晴,西南风,微风
2019/1/28,10,4,多云,东北风,微风
2019/1/29,13,5,多云,北风,微风
2019/1/30,19,5,小雨,北风,微风
2019/1/31,11,0,阴,北风,微风
